,title,worktype,skill,url,formatted_address,country,latlng
10,Maintenance Manager (Fleet),Full-Time,"['Installations (Manual/Mechanical)', 'Oil And Gas', 'Scheduling', 'Construction', 'Carpentry', 'Plumbing']",https://www.oilandgasjobsearch.com/job/J3N0215X2CFY3CQ850S?ipath=CRJR11,"3700 O St NW, Washington, DC 20057, USA",USA,"{'lat': 38.9076089, 'lng': -77.07225849999999}"
11,Developer I Web,Full-Time,"['.Net Framework', 'Asp.Net', 'Hyper Text Markup Language (Html)', 'C Sharp (Programming Language)', 'Java Script (Programming Language)', 'Cascading Style Sheets (Css)']",https://www.oilandgasjobsearch.com/job/J3S7RS6WL79F4Z6QMZY?ipath=CRJR12,"Quezon City, Metro Manila, Philippines",Philippines,"{'lat': 14.6760413, 'lng': 121.0437003}"
12,Senior MES Engineer,Full-Time,"['Systems Integration', 'Integration', 'Software Development', 'Requirements Analysis', 'Manufacturing', 'Pharmaceuticals']",https://www.oilandgasjobsearch.com/job/J3S58C681F1DH2Q4JHR?ipath=CRJR13,"Copenhagen, Denmark",Denmark,"{'lat': 55.6760968, 'lng': 12.5683372}"
13,Senior Embedded Software Engineer (Measurement Solutions),Full-Time,"['Integrated Circuits', 'Universal Asynchronous Receiver/Transmitter', 'Linux On Embedded Systems', 'Serial Peripheral Interface', 'Training', 'Onboarding']",https://www.oilandgasjobsearch.com/job/J3W21Z71GQ7M52C155R?ipath=CRJR14,"W Coast Ferry Rd, West Coast Park, Singapore 126978",Singapore,"{'lat': 1.2913603, 'lng': 103.7666534}"
14,Regional D&I Manager,Full-Time,"['Management', 'Labour Laws']",https://www.oilandgasjobsearch.com/job/J3N51Z6H151ZDH6F7YP?ipath=CRJR15,"Melbourne VIC, Australia",Australia,"{'lat': -37.8136276, 'lng': 144.9630576}"
15,Administrator II Marketing Automation,Full-Time,"['A/B Testing', 'Web Analytics', 'Content Management', 'Analytics', 'Web Content Management Systems', 'Scheduling']",https://www.oilandgasjobsearch.com/job/J3T4Y76QJ15KTXPPMCY?ipath=CRJR16,"Quezon City, Metro Manila, Philippines",Philippines,"{'lat': 14.6760413, 'lng': 121.0437003}"
16,Specialist I Customer Support,Full-Time,"['Stress Management', 'Courtesy', 'Microsoft Office', 'Attention To Detail', 'Multitasking', 'Microsoft Excel']",https://www.oilandgasjobsearch.com/job/J3V1W36LGTSMY7GBSNL?ipath=CRJR17,"Quezon City, Metro Manila, Philippines",Philippines,"{'lat': 14.6760413, 'lng': 121.0437003}"
17,Contracts Engineer,Contractor,"['Storage (Warehousing)', 'Scheduling', 'Laws', 'Instructions', 'Documentation', 'Industry Practices']",https://www.oilandgasjobsearch.com/job/J3W1D568H8RB3NY4DN5?ipath=CRJR18,"Doha, Qatar",Qatar,"{'lat': 25.2854473, 'lng': 51.53103979999999}"
18,Senior Process Engineer (Research & Development),Contractor,"['Centrifugation', 'Scheduling', 'Management', 'Process Improvements (Business)', 'Distillation', 'Biochemistry']",https://www.oilandgasjobsearch.com/job/J3Q3YK5X4X8PDMF4ZVL?ipath=CRJR19,"Budapest, Hungary",Hungary,"{'lat': 47.497912, 'lng': 19.040235}"
19,Senior Process Engineer,Contractor,"['Scheduling', 'Quality Management Systems', 'Oil And Gas', 'Oil Painting', 'Oil And Gas', 'English Language']",https://www.oilandgasjobsearch.com/job/J3W31F6VLV8YDZQY37K?ipath=CRJR20,"Lopburi, Thailand",Thailand,"{'lat': 14.7995081, 'lng': 100.6533706}"
20,QAQC Manager,Contractor,"['Project Management', 'Quality Management Systems', 'C (Programming Language)', 'Quality Management', 'Oil Painting', 'Oil And Gas']",https://www.oilandgasjobsearch.com/job/J3W0YR6N4Z6LCN8KS80?ipath=CRJR21,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Malaysia,"{'lat': 3.139003, 'lng': 101.686855}"
21,Controls Technical Advisor,Contractor,"['Management', 'Operations', 'Leadership', 'Presentations', 'Problem Solving', 'Research']",https://www.oilandgasjobsearch.com/job/J3S7C065CDD82MHVBDX?ipath=CRJR22,"Sabah, Malaysia",Malaysia,"{'lat': 5.978839799999999, 'lng': 116.0753199}"
22,Contract - Instrumentation Commissioning Engineer - Taiwan,Contractor,"['Mandarin (Language)', 'Profibus', 'Automation', 'Valves (Piping)', 'Original Equipment Manufacturer', 'Testing']",https://www.oilandgasjobsearch.com/job/J3Q3KF5Z1TG892LSWKH?ipath=CRJR23,"Chiayi City, Taiwan 600",Taiwan,"{'lat': 23.4800751, 'lng': 120.4491113}"
23,Werkvoorbereider Installatietechniek,Full-Time,"['Elektrotechniek', 'Regeltechniek', 'Werktuigbouwkunde', 'Werktuigbouwkunde (Onderwijs Geven)', 'Installatietechniek']",https://www.oilandgasjobsearch.com/job/J3S0HM680VSQ18BWKXS?ipath=CRJR24,"Amsterdam, Netherlands",Netherlands,"{'lat': 52.3675734, 'lng': 4.9041389}"
24,Marine Civil engineer,Full-Time,"['Hardworking And Dedicated', 'Management', 'Civil Engineering', 'Commercial Awareness', 'Scale (Map)', 'Construction']",https://www.oilandgasjobsearch.com/job/J3S6PH6G5L7WXM05JD6?ipath=CRJR25,"London, UK",UK,"{'lat': 51.5073509, 'lng': -0.1277583}"
25,Chef(-fe) de projet foncier PV,Full-Time,"['Projet (Chaudière)', 'Formation', 'Liens', 'Marchandage', 'Photovoltaïque', 'Commerce']",https://www.oilandgasjobsearch.com/job/J3R69Y6LFR2J43Q6PBN?ipath=CRJR26,"Marseille St Charles (FR), 1 Square Narvik, 13001 Marseille, France",France,"{'lat': 43.3031736, 'lng': 5.379985599999999}"
26,Projektleiter Elektrotechnik / Energietechnik,Full-Time,"['Kreatives Denken', 'Meister', 'Zusammenarbeit', 'Erweiterungskarten', 'Professional Development', 'Instandhaltung']",https://www.oilandgasjobsearch.com/job/J3P01T68YV1BHKVT940?ipath=CRJR27,"Hamburg, Germany",Germany,"{'lat': 53.5510846, 'lng': 9.9936819}"
27,Administrator,Full-Time,"['Document Management Systems', 'Trustworthy']",https://www.oilandgasjobsearch.com/job/J3P7DC6GX9C7Y6SZ9B4?ipath=CRJR28,"Ahmadi, Kuwait",Kuwait,"{'lat': 29.083461, 'lng': 48.07347619999999}"
28,Telecom Tower Tech 3 - Tophand,Full-Time,"['Occupational Health And Safety Administration (Osha)', 'Cardiopulmonary Resuscitation', 'First Aid', 'Microsoft Excel', 'Microsoft Outlook']",https://www.oilandgasjobsearch.com/job/J3N0WS714DTJW80RHK7?ipath=CRJR29,"Jacksonville, FL, USA",USA,"{'lat': 30.3321838, 'lng': -81.65565099999999}"
29,Leidinggevende Monteur Installatietechniek,Full-Time,"['Elektrotechniek', 'Regeltechniek', 'Werktuigbouwkunde', 'Werktuigbouwkunde (Onderwijs Geven)', 'Installatietechniek']",https://www.oilandgasjobsearch.com/job/J3N0LW64YZ298G21RBS?ipath=CRJR30,"Amsterdam, Netherlands",Netherlands,"{'lat': 52.3675734, 'lng': 4.9041389}"
30,Cost Engineer,Full-Time,"['Scheduling', 'Commercial Management', 'Metrics', 'Cost Benefit Analysis', 'Cost Controling', 'Earned Value Management']",https://www.oilandgasjobsearch.com/job/J3M7HW6P45B6P7ZS7PK?ipath=CRJR31,"151 Whiteladies Rd, Redland, Bristol BS8 2RD, UK",UK,"{'lat': 51.467623, 'lng': -2.612129}"
31,Technician II (2424) SAT (TEMP),Full-Time,"['Data Acquisition', 'Instrumentation', 'Maintenance', 'Curiosity', 'Stress Management', 'Test Execution Engine']",https://www.oilandgasjobsearch.com/job/J3M7BC6XX2SM05QK4HP?ipath=CRJR32,"Aberdeen Proving Ground, MD 21005, USA",USA,"{'lat': 39.4632824, 'lng': -76.1203982}"
32,Werkvoorbereider E/W,Full-Time,"['Elektrotechniek', 'Regeltechniek', 'Werktuigbouwkunde', 'Werktuigbouwkunde (Onderwijs Geven)', 'Installatietechniek']",https://www.oilandgasjobsearch.com/job/J3W44X645NQLVNJ8RRW?ipath=CRJR33,"Amsterdam, Netherlands",Netherlands,"{'lat': 52.3675734, 'lng': 4.9041389}"
33,Projectleider Installatietechniek,Full-Time,"['Planning', 'Elektrotechniek', 'Regeltechniek', 'Werktuigbouwkunde', 'Werktuigbouwkunde (Onderwijs Geven)', 'Installatietechniek']",https://www.oilandgasjobsearch.com/job/J3W4GT6G3PC0N5V3WYN?ipath=CRJR34,"Utrecht, Netherlands",Netherlands,"{'lat': 52.09073739999999, 'lng': 5.1214201}"
34,Drilling Supervisor (Night) M/F,Full-Time,"['English Language', 'Thai (Language)', 'Operations', 'Leadership', 'Engineering', 'Coordinating']",https://www.oilandgasjobsearch.com/job/J3W40X6W2S6Y14VDHCX?ipath=CRJR35,"Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Thailand,"{'lat': 13.7352523, 'lng': 100.5830644}"
35,I&C Technician,Contractor,"['Voltmeter', 'Wiring Diagram', 'Circuit Diagrams', 'Panel Building', 'Solenoid', 'Test Equipment']",https://www.oilandgasjobsearch.com/job/J3V5YF6KNB1CX4PB462?ipath=CRJR36,"Muscat, Oman",Oman,"{'lat': 23.5880307, 'lng': 58.3828717}"
36,Battery Lab Test Technician,Full-Time,"['Testing', 'Installations (Manual/Mechanical)', 'Electric Vehicle', 'Automation', 'Verification', 'Test Execution Engine']",https://www.oilandgasjobsearch.com/job/J3S7TB6GFS9CRLBTGPD?ipath=CRJR37,"Allen Park, MI 48101, USA",USA,"{'lat': 42.2575385, 'lng': -83.2110375}"
37,Intermediate Aquatic Biologist - Crew Lead,Full-Time,"['Analysis', 'Field Research', 'Project Management', 'Environmental Impact Assessments', 'Biology', 'Technical Writings']",https://www.oilandgasjobsearch.com/job/J3V3MS779VG5WBWMDRY?ipath=CRJR38,"Division No. 6, AB, Canada",Canada,"{'lat': 51.0463129, 'lng': -114.0534407}"
38,Electrical & Instrumentation Engineer,Full-Time,"['Oil And Gas', 'Oil Painting', 'Telemetry']",https://www.oilandgasjobsearch.com/job/J3S6P16SBRC9FN8VNRR?ipath=CRJR39,"Ipswich, UK",UK,"{'lat': 52.056736, 'lng': 1.14822}"
39,Project Engineer,Full-Time,"['Quality Management', 'Scheduling', 'Risk Management', 'Operations', 'Communications Management', 'Change Control']",https://www.oilandgasjobsearch.com/job/J3S2BT75BWKQ70D90WF?ipath=CRJR40,"Ahmadi, Kuwait",Kuwait,"{'lat': 29.083461, 'lng': 48.07347619999999}"
40,Operational and Facility Engineer,Full-Time,"['Testing', 'Commissioning', 'Installations (Manual/Mechanical)', 'Troubleshooting (Problem Solving)', 'Engineering', 'Boilers']",https://www.oilandgasjobsearch.com/job/J3R7J768D7SP030L1C6?ipath=CRJR41,"Dearborn, MI, USA",USA,"{'lat': 42.3222599, 'lng': -83.17631449999999}"
41,Engineer II – Ocean Engineer,Full-Time,"['Scheduling', 'Operations', 'Self Motivation', 'Engineering', 'Testing', 'Fluid Dynamics']",https://www.oilandgasjobsearch.com/job/J3P5D874JDCFFHTV8RN?ipath=CRJR42,"Wilson, FL, USA",USA,"{'lat': 28.6433283, 'lng': -80.69643959999999}"
42,Project Manager - Digital Energy,Full-Time,"['Management', 'Project Planning', 'Risk Management', 'Project Management', 'Analysis', 'Communication']",https://www.oilandgasjobsearch.com/job/J3P0T8745MNRQT9FNLT?ipath=CRJR43,"Boston, MA, USA",USA,"{'lat': 42.3600825, 'lng': -71.0588801}"
43,FP&A - Lead Consultant,Full-Time,"['Financial Analysis', 'Revenues', 'Financial Modeling', 'Budgeting', 'Forecasting', 'Finance']",https://www.oilandgasjobsearch.com/job/J3T4X17221RD5HR4SDT?ipath=CRJR44,"New York, NY, USA",USA,"{'lat': 40.7127753, 'lng': -74.0059728}"
44,Project Engineer - Automation/SCADA,Full-Time,"['German Language', 'Electrical Engineering', 'Manufacturing', 'Interface', 'Supervisory Control And Data Acquisition (Scada)', 'English Language']",https://www.oilandgasjobsearch.com/job/J3R37F6H8G8TWV2BBL0?ipath=CRJR45,"Hamburg, Germany",Germany,"{'lat': 53.5510846, 'lng': 9.9936819}"
45,Senior Software Engineer,Full-Time,"['Software As A Services', 'Big Data', 'Microsoft Azure', 'Scrum (Software Development)', 'Agile Software Development', 'Amazon Web Services']",https://www.oilandgasjobsearch.com/job/J3W5V775JZC98G2T4VN?ipath=CRJR46,"Boston, MA, USA",USA,"{'lat': 42.3600825, 'lng': -71.0588801}"
46,Bauingenieur Hochbau,Full-Time,"['Einhaltung Gesetzlicher Vorschriften', 'Bautechnik (Technische Aspekte)', 'Dokumentation', 'Instandhaltung', 'Architectural Engineering', 'Planung (Ausbildung)']",https://www.oilandgasjobsearch.com/job/J3W4LM6D58VYSCJ44MH?ipath=CRJR47,"Augsburg, Germany",Germany,"{'lat': 48.3705449, 'lng': 10.89779}"
47,Fachinformatiker,Full-Time,"['Infrastruktur', 'Softwares', 'Incident Management', 'Religi̦ser Text', 'Deutsch (Sprachunterricht)', 'Mobile Device Management']",https://www.oilandgasjobsearch.com/job/J3W46T67T2KGB8WLD7Y?ipath=CRJR48,"Augsburg, Germany",Germany,"{'lat': 48.3705449, 'lng': 10.89779}"
48,Major Projects - Project Director,Full-Time,"['Scheduling', 'Operations', 'Management']",https://www.oilandgasjobsearch.com/job/J3W32P65MQ6F3YJZ7PQ?ipath=CRJR49,"Lima Province, Peru",Peru,"{'lat': -12.0463667, 'lng': -77.0427891}"
49,Digital Product Delivery Lead,Full-Time,"['Consolidation (Financial)', 'Business Development', 'Solution Delivery', 'Competitor Analysis', 'Data Analysis', 'Data Management']",https://www.oilandgasjobsearch.com/job/J3V7S75ZPMMH5YHB7DR?ipath=CRJR50,"Wokingham, UK",UK,"{'lat': 51.410457, 'lng': -0.833861}"
50,Quantity Surveyor,Contractor,"['Scheduling', 'Subcontracting', 'Cost Controling', 'Cost Benefit Analysis', 'Feasibility Studies', 'Procurement']",https://www.oilandgasjobsearch.com/job/J3W29Y71VY2NV2Y2FYN?ipath=CRJR51,"Muscat, Oman",Oman,"{'lat': 23.5880307, 'lng': 58.3828717}"
51,Principal EC&I Engineer,Full-Time,"['Hazard And Operability Study', 'Hazard Identification', 'Testing', 'Scheduling', 'Nuclear Power', 'Reliability']",https://www.oilandgasjobsearch.com/job/J3W12D5XNX7RWM4FMCL?ipath=CRJR52,"18 Princess St, Knutsford WA16 6BU, UK",UK,"{'lat': 53.3040585, 'lng': -2.3752879}"
52,Staff Archaeologist,Full-Time,"['Field Research', 'Soil Science', 'Construction', 'Testing', 'Foundation (Framework)']",https://www.oilandgasjobsearch.com/job/J3T49T6K1MJBL16L3B4?ipath=CRJR53,"San Diego, CA, USA",USA,"{'lat': 32.715738, 'lng': -117.1610838}"
53,Digital Product Delivery Lead,Full-Time,"['Consolidation (Financial)', 'Business Development', 'Solution Delivery', 'Competitor Analysis', 'Data Analysis', 'Data Management']",https://www.oilandgasjobsearch.com/job/J3T1YT6MNH0MFCPKVP5?ipath=CRJR54,"Cobalt Square, 83 Hagley Rd, Birmingham B16 8QG, UK",UK,"{'lat': 52.4725245, 'lng': -1.9225807}"
54,Base Manager,Full-Time,"['Operations', 'Management']",https://www.oilandgasjobsearch.com/job/J3S68K6F15FXXHDW6GF?ipath=CRJR55,"3700 O St NW, Washington, DC 20057, USA",USA,"{'lat': 38.9076089, 'lng': -77.07225849999999}"
55,Application Engineer Softwareentwicklung,Full-Time,"['C Sharp (Programming Language)', 'Java (Programming Language)', 'Scalability', '.Net Framework', 'Perl (Programming Language)', 'Vbscript (Visual Basic Scripting Edition)']",https://www.oilandgasjobsearch.com/job/J3S21Y6S1W3ZY7JZ122?ipath=CRJR56,"Augsburg, Germany",Germany,"{'lat': 48.3705449, 'lng': 10.89779}"
56,Automation and Digitalization Research Senior Consultant,Full-Time,"['Creativity', 'Management', 'Rapid Prototyping', 'Operations', 'Presentations', 'Research']",https://www.oilandgasjobsearch.com/job/J3Q42Z6G6MP4LBWDM2X?ipath=CRJR57,"Riyadh 11564, Saudi Arabia",Saudi Arabia,"{'lat': 24.7135517, 'lng': 46.6752957}"
57,Ecological Clerk of Works (contract),Full-Time,"['Advising', 'Resource Management']",https://www.oilandgasjobsearch.com/job/J3Q0MH5YGJMWTHXXBLL?ipath=CRJR58,"Galway, Ireland",Ireland,"{'lat': 53.270668, 'lng': -9.0567905}"
58,Project Manager - Digital Energy,Full-Time,"['Management', 'Project Planning', 'Risk Management', 'Project Management', 'Analysis', 'Communication']",https://www.oilandgasjobsearch.com/job/J3Q02872QHZ2MGCB1Q7?ipath=CRJR59,"Boston, MA, USA",USA,"{'lat': 42.3600825, 'lng': -71.0588801}"
59,Senior EC&I Engineer,Full-Time,"['Hazard And Operability Study', 'Hazard Identification', 'Systems Design', 'Analysis', 'Scheduling', 'Nuclear Power']",https://www.oilandgasjobsearch.com/job/J3P8DR79SW03YKNHWMM?ipath=CRJR60,"18 Princess St, Knutsford WA16 6BU, UK",UK,"{'lat': 53.3040585, 'lng': -2.3752879}"
60,Product Marketing Manager,Full-Time,"['Business Development', 'Market Research', 'New Product Development', 'Product Marketing', 'Market Analysis', 'Marketing']",https://www.oilandgasjobsearch.com/job/J3P6XH72P4JGF4BQT8T?ipath=CRJR61,"North Bergen, NJ, USA",USA,"{'lat': 40.8042674, 'lng': -74.012084}"
61,Offshore Installation Manager / Offshore Commissioning Manager,Full-Time,"['Differentialgeometrie', 'Personalbeschaffung', 'Einhaltung Gesetzlicher Vorschriften', 'Pferdepflege', 'Maschinenbau', 'Kommunikation']",https://www.oilandgasjobsearch.com/job/J3P5GF6N78D2D65S354?ipath=CRJR62,"Brunswick, Germany",Germany,"{'lat': 52.2688736, 'lng': 10.5267696}"
62,Strategischer Einkäufer,Full-Time,"['Zusammenarbeit', 'Professional Development', 'Sap', 'Unternehmen', 'Leistungsoptimierung', 'Erlebnisp� Dagogik']",https://www.oilandgasjobsearch.com/job/J3P4Y26PNLFJYD1MY3H?ipath=CRJR63,"Brunswick, Germany",Germany,"{'lat': 52.2688736, 'lng': 10.5267696}"
63,Senior Engineer / Civil Raiload Design,Full-Time,"['Civil Engineering', 'Professional Engineer', 'Earthworks', 'Erosion Control', 'Civil Designer', 'Signaling (Crane Rigging)']",https://www.oilandgasjobsearch.com/job/J3N8GD6PVXFYD5ZT1TX?ipath=CRJR64,"Jacksonville, FL, USA",USA,"{'lat': 30.3321838, 'lng': -81.65565099999999}"
64,Contract & Sourcing Analyst,Full-Time,"['Leadership', 'Complex Problem Solving', 'Business Acumen', 'Customer Relationship Management', 'Market Research', 'Category Management']",https://www.oilandgasjobsearch.com/job/J3N3DD5ZR06XPWZM2SB?ipath=CRJR65,"B/206,Hind Saurashtra IND Estate,Marol Naka, Andheri - Kurla Rd, Sai Nagar, Ashok Nagar, Andheri (e, Mumbai, Maharashtra 400059, India",India,"{'lat': 19.1108788, 'lng': 72.8715356}"
65,FP&A - Lead Consultant,Full-Time,"['Financial Analysis', 'Revenues', 'Financial Modeling', 'Budgeting', 'Forecasting', 'Finance']",https://www.oilandgasjobsearch.com/job/J3N395748BMXYJY2Q0L?ipath=CRJR66,"New York, NY, USA",USA,"{'lat': 40.7127753, 'lng': -74.0059728}"
66,Land/GIS Surveyor,Contractor,"['Surveying', 'Geographic Information Systems', 'Topography', 'Computer Aided Design', 'Earthworks', 'Global Positioning Systems']",https://www.oilandgasjobsearch.com/job/J3M6CS6HGKGBKQB7KK2?ipath=CRJR67,"Muscat, Oman",Oman,"{'lat': 23.5880307, 'lng': 58.3828717}"
67,EC&I Engineer,Full-Time,"['Process Architecture', 'Nuclear Power', 'Control Systems', 'Budgeting', 'Documentation', 'Technical Documentation']",https://www.oilandgasjobsearch.com/job/J3M65D6P9T4VKQJJS20?ipath=CRJR68,"18 Princess St, Knutsford WA16 6BU, UK",UK,"{'lat': 53.3040585, 'lng': -2.3752879}"
68,Compliance Coordinator,Full-Time,"['Reports', 'Databases', 'Insurance', 'Microsoft Share Point', 'Information Technology', 'Corrective And Preventive Actions']",https://www.oilandgasjobsearch.com/job/J3M45F6PPC1RF4X5K3R?ipath=CRJR69,"Houston, TX, USA",USA,"{'lat': 29.7604267, 'lng': -95.3698028}"
69,Senior Radioactive Waste Management Consultant,Full-Time,"['Software Packaging', 'Stakeholder Engagement', 'Business Development', 'Information Security', 'Waste Management', 'Technical Writings']",https://www.oilandgasjobsearch.com/job/J3W7GB6MMC42PRLC24T?ipath=CRJR70,"Didcot OX11, UK",UK,"{'lat': 51.60804400000001, 'lng': -1.24484}"
70,Network Security Engineer,Full-Time,"['Information Security', 'Passionate', 'Network Security']",https://www.oilandgasjobsearch.com/job/J3W4P5731Z1Q797TG85?ipath=CRJR71,"Houston, TX, USA",USA,"{'lat': 29.7604267, 'lng': -95.3698028}"
71,Water Treatment Plant Manager,Full-Time,"['Reverse Osmosis', 'Management', 'Sewage Treatments', 'Training', 'Recruitment', 'Distributed Computing']",https://www.oilandgasjobsearch.com/job/J3W5HX74FN1G5L157QM?ipath=CRJR72,"Fort Irwin, CA, USA",USA,"{'lat': 35.2628402, 'lng': -116.6846351}"
72,Structural Engineer,Full-Time,"['Submittals (Construction)', 'Scheduling', 'Subcontracting', 'Installations (Manual/Mechanical)', 'Contract Management', 'Testing']",https://www.oilandgasjobsearch.com/job/J3V87X6ST7YX6V52ZGY?ipath=CRJR73,"Idaho Falls, ID, USA",USA,"{'lat': 43.49266069999999, 'lng': -112.0407584}"
73,Radiation Protection Adviser,Full-Time,"['Decision Making', 'Risk Analysis', 'Corrective And Preventive Actions', 'Management', 'Auditing', 'Professional Development']",https://www.oilandgasjobsearch.com/job/J3T34Q5ZG755339MFRZ?ipath=CRJR74,"Warrington, UK",UK,"{'lat': 53.3900441, 'lng': -2.5969501}"
74,TrackRecord Delivery Lead,Full-Time,"['Consolidation (Financial)', 'Business Development', 'Solution Delivery', 'Competitor Analysis', 'Data Analysis', 'Data Management']",https://www.oilandgasjobsearch.com/job/J3T17M6FPKJ2RS5GF1X?ipath=CRJR75,"7th Floor, United Kingdom House, 180 Oxford St, Fitzrovia, London W1D 1NN, UK",UK,"{'lat': 51.51599299999999, 'lng': -0.1392256}"
75,FP&A - Lead Consultant,Full-Time,"['Financial Analysis', 'Revenues', 'Financial Modeling', 'Budgeting', 'Forecasting', 'Finance']",https://www.oilandgasjobsearch.com/job/J3R8HC78GPKPYDWNFFR?ipath=CRJR76,"New York, NY, USA",USA,"{'lat': 40.7127753, 'lng': -74.0059728}"
76,GBS Project Accounting/Finance Functional Consultant,Full-Time,"['Accruals', 'Accounts Receivable', 'Accounts Payable', 'Fixed Asset', 'Scheduling', 'Billing']",https://www.oilandgasjobsearch.com/job/J3Q86Q695CT1GZ1LFJK?ipath=CRJR77,"B/206,Hind Saurashtra IND Estate,Marol Naka, Andheri - Kurla Rd, Sai Nagar, Ashok Nagar, Andheri (e, Mumbai, Maharashtra 400059, India",India,"{'lat': 19.1108788, 'lng': 72.8715356}"
77,Project Manager - Digital Energy,Full-Time,"['Management', 'Project Planning', 'Risk Management', 'Project Management', 'Analysis', 'Communication']",https://www.oilandgasjobsearch.com/job/J3Q6087629HH190ZVQR?ipath=CRJR78,"Boston, MA, USA",USA,"{'lat': 42.3600825, 'lng': -71.0588801}"
78,Well Services Supervisor,Full-Time,"['Operations', 'Frames', 'Service Provider', 'Drawing']",https://www.oilandgasjobsearch.com/job/J3Q4KZ6J3JDCJS8M8GT?ipath=CRJR79,Abu Dhabi - United Arab Emirates,UAE,"{'lat': 24.453884, 'lng': 54.3773438}"
79,Senior / Principal Risk Assessor,Full-Time,"['Chemistry', 'Biology', 'Geology', 'Earth Sciences', 'Hydrogeology', 'Management']",https://www.oilandgasjobsearch.com/job/J3P8GK71853NBZGCVXZ?ipath=CRJR80,"Division No. 6, AB, Canada",Canada,"{'lat': 51.0463129, 'lng': -114.0534407}"
80,Senior Construction Manager (Rail/Transit),Full-Time,"['Scheduling', 'Submittals (Construction)', 'Construction Management', 'Constructability', 'Professional Engineer', 'Construction']",https://www.oilandgasjobsearch.com/job/J3P36L7758WTDV191RH?ipath=CRJR81,"Oakland, CA, USA",USA,"{'lat': 37.8043514, 'lng': -122.2711639}"
