,title,employer,location,worktype,skill
84,Contracts Engineer,OILANDGAS,SAU-MK-Jeddah,Full-Time,"['Arabic Language', 'English Language', 'Government Contracting']"
85,Projectleider Woningbouw,OILANDGAS,Vlaams-Brabant,Full-Time,"['Nieuwbouw', 'Kwaliteit (Verantwoordelijk Voor)']"
86,Maintenance Service Contract Specialist,OILANDGAS,"Saskatoon, Saskatoon (Div. 11), Saskatchewan",Full-Time,"['Best Practices', 'Stakeholder Management', 'Performance Management', 'Maintenance', 'Oil And Gas']"
87,Engineer Installatietechniek,OILANDGAS,"Amsterdam, Noord-Holland",Full-Time,"['Elektrotechniek', 'Regeltechniek', 'Werktuigbouwkunde', 'Werktuigbouwkunde (Onderwijs Geven)', 'Installatietechniek']"
88,Salvage Technician,OILANDGAS,"Rushville, Indiana",Full-Time,"['Forklift Truck', 'Production Line', 'Lifting', 'Palletizing', 'Unloading', 'Material Handling']"
89,"Head, Projects Planning",OILANDGAS,Doha,Full-Time,"['Scheduling', 'Project Planning', 'Analysis', 'Project Management', 'Engineering', 'Change Management']"
90,Human Factors,OILANDGAS,"Thatcham, United Kingdom Countrywide",Full-Time,"['Analysis', 'Nuclear Power', 'Logging (Construction)']"
91,Senior Software Engineer,Spencer Ogden - USA,"Boston, Massachusetts",Full-Time,"['Software As A Services', 'Big Data', 'Microsoft Azure', 'Scrum (Software Development)', 'Agile Software Development', 'Amazon Web Services']"
92,Werkvoorbereider Energietechniek,OILANDGAS,Drenthe,Full-Time,"['Energietechniek (Onderwijs Geven)', 'Energietechniek']"
93,Werkvoorbereider E,OILANDGAS,"Groningen, Groningen",Full-Time,"['Planning', 'Projectleiding']"
94,Projectleider E,OILANDGAS,"Utrecht, Utrecht",Full-Time,"['Planning', 'Elektrotechniek', 'Installatietechniek']"
95,Bauingenieur / Architekt als Projektleiter Hochbau (m/w/d),OILANDGAS,"Hamburg, Hamburg",Full-Time,"['Bauingenieurwesen', 'Projektmanagement', 'Aftersales', 'Architektur', 'Bau', 'Projektkoordination']"
96,Transportation Construction Manager,OILANDGAS,"Colorado Springs, Colorado",Full-Time,"['Construction Management', 'Civil Engineering', 'Submittals (Construction)', 'Scheduling', 'Construction', 'Professional Engineer']"
97,Resident Inspector,Spencer Ogden - Singapore,"Massa, Toscana",Contractor,"['Scheduling', 'Gas Turbine', 'Semiconductor Device Fabrication', 'Quality Management', 'Welding', 'Certified Welding Inspector']"
98,Instrumentation Designer,Spencer Ogden - Singapore,"Ban Rong Chang, Lop Buri",Contractor,"['Telecommunications', 'Engineering', 'Concurrency Controls', 'Packages (Software)', 'Auto Cad', 'Pdms']"
99,Well Services & Well Integrity Manager,Sofomation,Doha,Full-Time,"['Phase (Waves)', 'Leadership', 'Operations', 'Mechanical Engineering', 'Snubbing', 'Petroleum Engineering']"
100,Senior Instrumentation Designer,Spencer Ogden - Singapore,"Ban Rong Chang, Lop Buri",Contractor,"['Telecommunications', 'Engineering', 'Concurrency Controls', 'Packages (Software)', 'Auto Cad', 'Pdms']"
101,QAQC Manager,Spencer Ogden - Singapore,Singapore,Contractor,"['Project Management', 'Quality Management Systems', 'C (Programming Language)', 'Quality Management', 'Oil Painting', 'Oil And Gas']"
102,Process Engineer,Spencer Ogden - Singapore,Kuala Lumpur,Contractor,"['Refinery', 'Scenario Analysis', 'Floating Production Storage And Offloading', 'Datasheets', 'Mass Balance', 'Instrumentation']"
103,QAQC Manager,Spencer Ogden - Singapore,Khlong Tan Nuea,Contractor,"['Project Management', 'Quality Management Systems', 'C (Programming Language)', 'Quality Management', 'Oil Painting', 'Oil And Gas']"
104,Electrical Commissioning Technician,Spencer Ogden - Singapore,Singapore,Contractor,"['Wiring Diagram', 'Pneumatics', 'Blueprinting', 'Electrical Wirings', 'Test Equipment', 'Relays']"
105,Process Engineer,Spencer Ogden - Singapore,Khlong Tan Nuea,Contractor,"['Refinery', 'Scenario Analysis', 'Floating Production Storage And Offloading', 'Datasheets', 'Mass Balance', 'Instrumentation']"
106,Chemical Process Engineer,Sofomation,Riyadh,Contractor,"['Petrochemical', 'Oil And Gas', 'Redox', 'Mass Balance', 'Chemical Engineering', 'Economics']"
107,Data & Analytics Application Developer,Spencer Ogden - USA,"Houston, Texas",Full-Time,"['Windows Communication Foundation', 'C Sharp (Programming Language)', 'Entity Framework', 'Ado.Net (Programming Language)', 'Big Data', 'U Sql']"
108,MODULE LEAD COMMISSIONING ENGINEER,FRAG S.R.L,Milano,Full-Time,"['Scheduling', 'Liquefied Natural Gas', 'Commissioning', 'Engineering', 'Installations (Manual/Mechanical)', 'Best Practices']"
109,Engine Machine Shop Technician,OILANDGAS,"Dearborn, Michigan",Full-Time,"['Drill Press', 'Lathes', 'Mills', 'Bandsaws', 'Bench Grinders', 'Arbor Press']"
110,Automobile Assistant Technician M/F,OILANDGAS,Doha,Full-Time,"['Maintenance', 'Testing', 'Oil Painting', 'Complex Problem Solving', 'Verification', 'Electrical Systems']"
111,Legal and Commercial Manager,Spencer Ogden - Singapore,"Taipei, Taipei City",Full-Time,"['Scheduling', 'Engineering', 'Communication', 'Stakeholder Management', 'Finance', 'Infrastructure']"
112,Electrical Engineer (Buildings),OILANDGAS,"San Francisco, California",Full-Time,"['Hardworking And Dedicated', 'Computer Aided Design', 'Autodesk Revit', 'Coordinating']"
113,Head of Product & Engineering (Maritime),Spencer Ogden - UK,"London, Westminster",Full-Time,"['Product Marketing', 'Marketing', 'Management', 'Operations', 'Product Management', 'Sales']"
114,Technician,OILANDGAS,"Shanghai, Shanghai",Full-Time,"['Machining', 'Lathes', 'Computer Numerical Control (Cnc)', 'Prototype (Manufacturing)']"
115,Proposal Manager,Spencer Ogden - Singapore,"Taipei, Taipei City",Full-Time,"['Technical Sales', 'Business Development', 'Sales Engineering', 'Market Research', 'Selling Techniques', 'Mechanical Engineering']"
116,Senior Project Developer,OILANDGAS,"Amsterdam, Noord-Holland",Contractor,"['Reports', 'Due Diligence', 'Planning Permission', 'Project Management', 'Land Tenure']"
117,VN Project Manager,Spencer Ogden - Singapore,Hanoi,Full-Time,"['Wind Farming', 'Project Management', 'Management', 'Original Equipment Manufacturer', 'Timelines', 'Coordinating']"
118,Senior Regulatory and Permitting Specialist,OILANDGAS,"Vancouver, Greater Vancouver, British Columbia",Full-Time,"['Scheduling', 'Presentations', 'Management', 'Engineering', 'Operations', 'Timelines']"
119,Senior Investment Manager,Spencer Ogden - UK,,Full-Time,"['Financial Industry Regulatory Authorities', 'Annuities', 'Series 7 General Securities Representative License (Stockbroker)', 'Brokerage', 'Series 6 Investment Company And Variable Contracts License (Mutual Funds/Variable Annuities)', 'Series 63 Uniform Securities Agent State Law License']"
120,E&I Inspector,Spencer Ogden - Singapore,"Qingdao, Shandong",Contractor,"['Software Quality Assurance (Sqa)', 'Safety Assurance', 'Product Quality Assurance', 'Software Quality Control', 'Testing', 'Engineering']"
121,VN Project Manager,OILANDGAS,Hanoi,Full-Time,"['Wind Farming', 'Project Management', 'Management', 'Original Equipment Manufacturer', 'Timelines', 'Coordinating']"
122,E&I Inspector,OILANDGAS,"Qingdao, Shandong",Contractor,"['Software Quality Assurance (Sqa)', 'Safety Assurance', 'Product Quality Assurance', 'Software Quality Control', 'Testing', 'Engineering']"
123,Project Contracts Specialist,OILANDGAS,Muscat,Contractor,"['Wholesaling', 'Administration', 'Change Management', 'Reports', 'Risk Management', 'Mitigation']"
124,Planning Engineer,OILANDGAS,Muscat,Full-Time,"['Weakness', 'Project Management', 'Scheduling', 'Shop Drawing']"
125,EC&I Designer,OILANDGAS,"Warrington, Cheshire",Full-Time,"['Manufacturing', 'Training', 'Documentation', 'Engineering', 'Mentorship', 'Coaching And Mentoring']"
126,Project Engineering Manager,OILANDGAS,"Warrington, Cheshire",Full-Time,"['Engineering', 'Scheduling', 'Dangerous Substances And Explosive Atmospheres Regulations Of 2002 (Dsear)', 'Design Assurance', 'Procurement', 'Performance Enhancing Drugs']"
127,"Assurance Manager - Sub Saharan Africa, Qatar & Kuwait",OILANDGAS,Pretoria,Full-Time,"['Leadership', 'Team Building', 'Mentorship', 'Coaching And Mentoring', 'Conflict Resolution', 'Time Management']"
128,Nuclear Project Manager,OILANDGAS,"Barnwood, United Kingdom Countrywide",Full-Time,"['Earned Value Management', 'Leadership', 'Scheduling', 'Team Working', 'Commercial Awareness', 'Coordinating']"
129,FP&A - Lead Consultant,OILANDGAS,"New York, New York",Full-Time,"['Financial Analysis', 'Revenues', 'Financial Modeling', 'Budgeting', 'Forecasting', 'Finance']"
130,Ingenieur für Netzplanung und Netzmodellierung DIgSILENT Powerfa,OILANDGAS,"Dresden, Sachsen",Full-Time,"['Electronic Components', 'Professional Development', 'Risikobewertungen', 'Analyse', 'Planung (Ausbildung)', 'Entwicklung (Fotografie)']"
131,Schweißfachingenieur,OILANDGAS,"Peitz, Brandenburg",Full-Time,"['Metall (Kunstkonservierung)', 'B (Programming Language)', 'Bau', 'Professional Development', 'Anlagenbau', 'Qualifizieren Dimensionieren']"
132,Bauleiter - TGA (ELT oder HKLS),OILANDGAS,"Mannheim, Baden-Württemberg",Full-Time,"['Elektrotechnik', 'Komplette Androgenresistenz', 'Heizen Und K� Hlen', 'Qualit� T', 'Technik (Unterricht)', 'Berufliche Rehabilitation']"
133,Document Control Professional,OILANDGAS,"Orlando, Florida",Full-Time,"['Microsoft Office', 'Microsoft Access', 'Configuration Management', 'Engineering', 'Creativity', 'Enterprise Document Management System']"
134,Bauleiter – konstruktiver Hoch- und Ingenieurbau,OILANDGAS,Niedersachsen,Full-Time,"['Aftersales', 'Kundenzufriedenheit', 'Bau', 'Organisationsstruktur', 'Pommer Spezialbetonbau']"
135,Bauleiter Brückenbau,OILANDGAS,Bayern,Full-Time,"['Bauingenieurwesen', 'Konstruktiver Ingenieurbau', 'Bearbeitung', 'Entwurf (Boiler)', 'Centroid', 'Stahlerzeugung']"
136,Qualitätsingenieur - Schwerpunkt: Auditierung und Zertifizierung,OILANDGAS,Niedersachsen,Full-Time,"['Fmea (Failure Mode And Effects Analysis)', 'Qualit� Tsvorausplanung', 'Produktionsteil Freigabeverfahren', 'Iso/Ts 16949', 'Kontinuierlicher Verbesserungsprozess', 'Planung (Ausbildung)']"
137,Elektroniker/Mechatroniker für SPS-Programmierung und Inbetriebn,OILANDGAS,Niedersachsen,Full-Time,"['Hydraulik', 'Lenkung', 'Pneumatik', 'Electronic Engineering', 'Erwachsenenbildung', 'Dokumentation (Prozessindustrie)']"
138,Team-/Projektassistenz,OILANDGAS,Niedersachsen,Full-Time,"['Gliederung Der Zubereitung Von Speisen', 'Kreatives Denken', 'Deutsche Sprache', 'Organisationsstruktur', 'Planung (Ausbildung)', 'Korrespondenz (Mathematik)']"
139,Bauingenieur - Hochbau,OILANDGAS,Niedersachsen,Full-Time,"['Command Controls', 'Religi̦ser Text', 'Planung (Ausbildung)', 'Word Wise']"
140,Fachkraft für Arbeitssicherheit,OILANDGAS,Niedersachsen,Full-Time,"['Unternehmen', 'Technik (Unterricht)', 'Ms Office']"
141,Projektingenieur - Automatisierungstechnik,OILANDGAS,Niedersachsen,Full-Time,"['Elektrotechnik', 'Design', 'Englisch (Sprachunterricht)', 'Erlebnisp� Dagogik']"
